"Tier","Seed","Night","CampaignComplete","Modifier","Rides","Earnings","Quota","FuelEnd","TimeEnd","WardsEnd","FailureCause","Reason","HighestFareShare","Routes","Fares"
"comfort","4","1","False","None","4","239","150","11","249","6","success","completed","0.2803","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police","8:18;14:67;3:39;5:65"
"comfort","4","2","False","None","3","81","225","31","0","3","time","You could not make the next leg. The shift ends where it stands.","0.5062","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Shortcut","1:15;10:37;3:41"
"comfort","5","1","False","None","2","42","150","50","329","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.5714","Normal;Shortcut;Scenic;Police;Normal","1:18;10:24"
"comfort","6","1","False","None","2","44","150","54","351","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.6364","Normal;Shortcut;Scenic;Police;Normal","9:28;4:16"
"comfort","7","1","False","None","7","93","150","37","0","2","time","You could not make the next leg. The shift ends where it stands.","0.4086","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","8:18;10:28;3:38;4:18;1:17;2:11;7:11"
"comfort","8","1","False","None","2","70","150","29","138","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.6286","Normal;Shortcut;Scenic;Police;Normal","2:44;9:26"
"comfort","9","1","False","None","5","84","150","42","90","4","hidden-rule","Hidden Rule Violated!
Stopping in bad weather during the witching hour was a mistake...","0.4167","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","4:35;8:17;1:13;10:25;12:30"
"comfort","10","1","False","None","4","92","150","37","31","0","time","You could not make the next leg. The shift ends where it stands.","0.3913","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal","2:25;3:27;1:28;8:36"
"comfort","11","1","False","None","0","0","150","79","427","0","misread","Wrong choice regarding ""Keep All Windows Sealed"" - misread the passenger","0","Normal;Shortcut",""
"comfort","12","1","False","None","7","205","150","35","100","3","success","completed","0.1854","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","3:31;6:32;1:22;2:10;9:26;8:17;5:38"
"comfort","12","2","False","Witching Hour","8","154","191","43","11","6","time","You could not make the next leg. The shift ends where it stands.","0.2338","Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Police","3:29;10:17;1:24;13:13;9:33;4:36;2:7;8:28"
"comfort","13","1","False","None","5","128","150","6","9","2","time","You could not make the next leg. The shift ends where it stands.","0.3828","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Shortcut;Normal;Shortcut;Scenic","8:24;10:27;1:21;3:49;12:31"
"comfort","14","1","False","None","2","34","150","36","275","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.5882","Normal;Shortcut;Scenic;Police;Normal","13:14;9:20"
"comfort","15","1","False","None","7","209","150","5","50","0","success","completed","0.311","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","9:24;4:13;1:16;5:65;8:23;3:37;2:29"
"comfort","15","2","False","Rationed Pumps","4","87","225","33","1","0","time","You could not make the next leg. The shift ends where it stands.","0.5057","Scenic;Police;Scenic;Police;Scenic;Police;Scenic;Police;Police","1:21;10:26;8:29;3:44"
"almanac-1","1","1","False","None","7","201","150","47","73","0","success","completed","0.204","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","1:18;3:24;8:32;2:13;4:32;13:41;9:39"
"almanac-1","1","2","False","Witching Hour","6","142","191","45","11","0","time","You could not make the next leg. The shift ends where it stands.","0.2817","Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","13:34;2:40;8:33;3:26;1:26;10:19"
"almanac-1","2","1","False","None","7","112","150","29","0","3","time","You could not make the next leg. The shift ends where it stands.","0.4911","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","3:55;13:28;8:15;9:22;1:14;10:26;2:24"
"almanac-1","3","1","False","None","4","75","150","29","124","0","meltdown","The passenger's need became uncontrollable.","0.5467","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","2:17;10:41;6:5;1:24"
"almanac-1","4","1","False","None","6","241","150","6","136","3","success","completed","0.278","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police","8:18;14:67;3:34;1:16;2:24;7:56"
"almanac-1","4","2","False","None","3","85","225","30","274","3","meltdown","The passenger's need became uncontrollable.","0.5882","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police","1:27;7:50;13:8"
"almanac-1","5","1","False","None","1","15","150","55","360","0","meltdown","The passenger's need became uncontrollable.","1","Normal;Shortcut;Scenic;Police","1:15"
"almanac-1","6","1","False","None","2","44","150","56","354","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.6364","Normal;Shortcut;Scenic;Police;Normal","9:28;4:16"
"almanac-1","7","1","False","None","2","44","150","47","304","0","meltdown","The passenger's need became uncontrollable.","0.6364","Normal;Shortcut;Scenic;Police;Normal;Shortcut","8:16;13:28"
"almanac-1","8","1","False","None","1","39","150","51","221","0","meltdown","The passenger's need became uncontrollable.","1","Normal;Shortcut;Scenic;Police","2:39"
"almanac-1","9","1","False","None","5","73","150","11","25","4","time","You could not make the next leg. The shift ends where it stands.","0.4795","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","4:35;8:17;1:29;2:14;7:14"
"almanac-1","10","1","False","None","4","97","150","43","25","3","time","You could not make the next leg. The shift ends where it stands.","0.3918","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal","2:38;8:22;4:34;9:27"
"almanac-1","11","1","False","None","0","0","150","79","427","0","misread","Wrong choice regarding ""Keep All Windows Sealed"" - misread the passenger","0","Normal;Shortcut",""
"almanac-1","12","1","False","None","7","213","150","39","111","5","success","completed","0.1878","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","3:38;6:32;1:22;2:6;7:24;10:40;4:37"
"almanac-1","12","2","False","None","9","157","225","47","10","8","time","You could not make the next leg. The shift ends where it stands.","0.2866","Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Police","6:27;9:21;1:18;10:23;4:20;8:19;2:6;3:38;11:45"
"almanac-1","13","1","False","None","5","201","150","32","69","0","success","completed","0.2488","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","8:15;10:38;3:50;1:32;14:40"
"almanac-1","13","2","False","None","1","27","225","58","353","0","meltdown","The passenger's need became uncontrollable.","1","Scenic;Police;Normal;Shortcut","8:27"
"almanac-1","14","1","False","None","2","76","150","45","288","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.3816","Normal;Shortcut;Scenic;Police;Normal","13:22;8:29"
"almanac-1","15","1","False","None","7","236","150","22","67","0","success","completed","0.2331","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","9:24;4:32;2:43;1:31;10:19;6:30;3:55"
"almanac-1","15","2","False","None","1","12","225","60","391","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","1","Scenic;Police;Normal","2:12"
"almanac-2","1","1","False","None","5","200","150","26","185","0","success","completed","0.245","Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Shortcut;Shortcut;Police;Police","1:31;10:27;4:48;3:49;6:19"
"almanac-2","1","2","False","Rationed Pumps","5","147","225","37","3","4","time","You could not make the next leg. The shift ends where it stands.","0.4898","Scenic;Scenic;Scenic;Shortcut;Police;Police;Scenic;Scenic;Shortcut;Shortcut","10:45;1:26;6:26;4:72;2:26"
"almanac-2","2","1","False","None","4","212","150","0","201","4","success","completed","0.2925","Shortcut;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic","3:62;12:43;13:26;4:43"
"almanac-2","2","2","False","Blood Moon","5","281","225","18","110","4","success","completed","0.3167","Shortcut;Shortcut;Scenic;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic","8:19;3:62;9:89;6:27;1:58"
"almanac-2","2","3","False","Hungry City","10","356","375","36","1","4","time","You could not make the next leg. The shift ends where it stands.","0.2247","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Police;Police;Scenic;Scenic;Police;Police;Police;Police;Shortcut;Shortcut;Scenic;Police;Shortcut","3:44;1:45;10:41;8:24;6:27;9:80;13:31;14:48;2:21;7:55"
"almanac-2","3","1","False","None","5","231","150","41","141","3","success","completed","0.2511","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut","2:39;1:34;8:13;10:58;3:49"
"almanac-2","3","2","False","None","5","282","225","16","158","3","success","completed","0.234","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","12:55;2:33;4:66;3:51;1:39"
"almanac-2","3","3","False","None","7","360","300","19","136","8","success","completed","0.2167","Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Shortcut;Shortcut;Scenic","10:50;1:39;4:78;9:47;8:17;3:50;2:53"
"almanac-2","3","4","False","None","7","441","375","26","125","12","success","completed","0.2449","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Shortcut","7:81;12:45;9:34;5:108;4:62;3:46;2:39"
"almanac-2","3","5","False","Rationed Pumps","5","243","450","36","15","10","time","You could not make the next leg. The shift ends where it stands.","0.3663","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic","2:43;3:57;4:59;7:43;9:89"
"almanac-2","4","1","False","None","6","216","150","38","159","0","success","completed","0.2037","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Shortcut;Shortcut","8:17;1:31;9:44;6:16;4:44;3:35"
"almanac-2","4","2","False","Gilded Dusk","5","155","293","20","25","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.2968","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Police;Police;Scenic","1:45;3:46;6:22;10:43;8:35"
"almanac-2","5","1","False","None","6","207","150","31","116","0","success","completed","0.2464","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police","1:33;10:41;6:24;12:51;3:24;8:32"
"almanac-2","5","2","False","None","6","278","225","24","53","0","success","completed","0.2662","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic","12:62;10:40;9:25;4:74;1:30;7:33"
"almanac-2","5","3","False","None","2","182","300","38","316","5","violation","You cleaned the windshield and gave the thing behind the smear a clear look back. You wiped the glass clear and met what had been pressed against it.","0.533","Scenic;Scenic;Scenic;Scenic;Scenic","5:97;11:85"
"almanac-2","6","1","False","None","5","236","150","14","137","0","success","completed","0.2246","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Scenic","9:52;4:34;1:20;2:53;10:51"
"almanac-2","6","2","False","None","2","99","225","53","323","4","hidden-rule","Hidden Rule Violated!
Speed in snow conditions attracted the attention of winter spirits...","0.5253","Scenic;Scenic;Scenic;Scenic","4:52;9:47"
"almanac-2","7","1","False","None","5","206","150","37","178","0","success","completed","0.2573","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut","8:16;10:53;4:36;1:20;3:43"
"almanac-2","7","2","False","None","7","296","225","30","152","3","success","completed","0.2399","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Police;Police;Shortcut;Shortcut;Scenic;Shortcut","4:71;2:22;10:54;1:33;6:12;8:30;3:48"
"almanac-2","7","3","False","None","6","165","300","40","34","1","hidden-rule","Hidden Rule Violated!
Speed in snow conditions attracted the attention of winter spirits...","0.3333","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Police;Police;Scenic;Scenic;Police;Police","7:53;1:38;2:26;13:19;10:55;6:22"
"almanac-2","8","1","False","None","3","112","150","43","87","0","hidden-rule","Hidden Rule Violated!
Stopping in bad weather during the witching hour was a mistake...","0.4911","Shortcut;Shortcut;Police;Police;Scenic;Scenic","2:36;8:33;9:55"
"almanac-2","9","1","False","None","5","203","150","28","86","3","success","completed","0.2562","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","4:48;8:19;1:31;2:27;7:52"
"almanac-2","9","2","False","Dead Frequency","9","307","225","24","16","6","success","completed","0.1694","Scenic;Scenic;Scenic;Scenic;Police;Police;Shortcut;Shortcut;Police;Police;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Shortcut","1:35;10:28;6:18;8:17;14:52;2:29;12:48;3:30;4:48"
"almanac-2","9","3","False","Gilded Dusk","9","494","390","10","32","9","success","completed","0.2449","Police;Police;Scenic;Scenic;Police;Police;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","13:31;9:62;6:34;2:53;10:57;3:48;1:44;8:30;5:121"
"almanac-2","9","4","False","None","9","318","375","48","0","13","time","You could not make the next leg. The shift ends where it stands.","0.2264","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Police;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Normal","1:45;10:42;11:44;14:72;8:20;2:42;4:52;6:29;3:44"
"almanac-2","10","1","False","None","5","123","150","46","25","0","time","You could not make the next leg. The shift ends where it stands.","0.3902","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Police;Police","2:23;4:48;9:40;1:19;6:17"
"almanac-2","11","1","False","None","5","246","150","6","172","0","success","completed","0.2398","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Scenic;Scenic;Scenic","10:51;1:33;8:18;3:59;12:47"
"almanac-2","11","2","False","None","6","283","225","29","139","4","success","completed","0.1873","Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut","7:51;12:53;4:51;9:46;10:31;1:25"
"almanac-2","11","3","False","None","7","391","300","27","0","1","success","completed","0.1867","Shortcut;Shortcut;Scenic;Shortcut;Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic","8:25;3:55;14:63;1:50;7:61;12:50;11:73"
"almanac-2","11","4","False","None","6","322","375","44","14","1","time","You could not make the next leg. The shift ends where it stands.","0.323","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Scenic;Shortcut;Shortcut;Shortcut","4:51;9:52;11:60;5:104;1:41;3:50"
"almanac-2","12","1","False","None","5","219","150","14","268","3","success","completed","0.2877","Shortcut;Shortcut;Police;Police;Police;Police;Shortcut;Shortcut;Police;Police","3:36;6:14;13:19;8:22;14:63"
"almanac-2","12","2","False","Witching Hour","3","144","191","21","222","1","meltdown","The passenger's need became uncontrollable.","0.5278","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","8:23;7:76;3:45"
"almanac-2","13","1","False","None","2","62","150","13","184","0","meltdown","The passenger's need became uncontrollable.","0.7903","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic","8:13;10:49"
"almanac-2","14","1","False","None","5","237","150","14","79","0","success","completed","0.2616","Police;Police;Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Normal","13:37;6:10;12:51;1:26;5:62"
"almanac-2","14","2","False","None","7","279","225","33","80","2","success","completed","0.2437","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Scenic;Scenic;Normal","2:20;4:43;9:42;7:32;12:68;1:39;10:33"
"almanac-2","14","3","False","None","10","599","300","15","3","2","success","completed","0.4257","Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Police;Police;Shortcut;Shortcut;Police;Shortcut;Shortcut;Shortcut;Police;Police;Scenic;Police","9:58;4:46;10:40;1:48;6:22;3:27;8:15;2:27;14:59;15:255"
"almanac-2","14","4","False","None","5","159","375","39","107","3","meltdown","The passenger's need became uncontrollable.","0.3522","Police;Police;Shortcut;Shortcut;Police;Police;Police;Police;Scenic;Scenic;Scenic;Scenic","8:25;3:35;6:17;14:56;1:50"
"almanac-2","15","1","False","None","5","226","150","10","181","0","success","completed","0.2212","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Shortcut","9:50;4:50;8:18;1:43;2:39"
"almanac-2","15","2","False","Hungry City","8","361","281","27","39","0","success","completed","0.1939","Police;Police;Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic","6:16;4:67;12:39;2:51;7:70;10:33;13:32;1:51"
"almanac-2","15","3","False","Witching Hour","7","354","255","9","112","0","success","completed","0.226","Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic","3:30;2:45;6:24;1:50;5:74;8:25;11:80"
"almanac-2","15","4","False","Blood Moon","6","610","375","39","169","7","success","completed","0.4902","Police;Police;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Scenic;Scenic;Scenic;Scenic","13:38;2:53;1:40;5:89;10:65;15:299"
"almanac-2","15","5","False","None","3","68","450","23","32","7","time","You could not make the next leg. The shift ends where it stands.","0.6029","Police;Police;Police;Police;Scenic;Scenic;Scenic","8:22;16:5;3:41"
"almanac-3","1","1","False","None","4","213","150","28","231","0","success","completed","0.3146","Scenic;Scenic;Shortcut;Shortcut;Shortcut;Scenic;Scenic;Scenic","1:31;3:31;2:46;7:67"
"almanac-3","1","2","False","None","4","149","225","24","36","0","time","You could not make the next leg. The shift ends where it stands.","0.4228","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Scenic;Police","9:50;3:35;1:25;10:63"
"almanac-3","2","1","False","None","4","126","150","0","212","0","quota","You only earned $126 but needed $150.","0.4921","Shortcut;Scenic;Scenic;Scenic;Police;Police;Police;Shortcut","3:62;12:43;6:16;8:17"
"almanac-3","3","1","False","None","4","115","150","22","151","0","meltdown","The passenger's need became uncontrollable.","0.3391","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Shortcut;Scenic;Scenic","2:39;1:34;8:13;3:29"
"almanac-3","4","1","False","None","5","216","150","17","214","8","success","completed","0.213","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","8:17;1:31;10:46;2:25;4:44"
"almanac-3","4","2","False","Rationed Pumps","5","187","225","36","0","14","quota","You only earned $187 but needed $225.","0.4011","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut","3:52;1:51;8:21;4:75;13:12"
"almanac-3","5","1","False","None","6","207","150","31","116","0","success","completed","0.2464","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic;Police;Police","1:33;10:41;6:24;12:51;3:24;8:32"
"almanac-3","5","2","False","None","6","290","225","15","36","0","success","completed","0.2138","Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic","12:62;10:40;9:25;1:55;4:61;7:33"
"almanac-3","5","3","False","Dead Frequency","4","123","300","27","0","0","time","You could not make the next leg. The shift ends where it stands.","0.4146","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Normal;Police","10:51;1:37;8:22;9:49"
"almanac-3","6","1","False","None","2","86","150","12","271","0","meltdown","The passenger's need became uncontrollable.","0.6047","Scenic;Scenic;Scenic;Scenic;Police;Scenic","9:52;4:34"
"almanac-3","7","1","False","None","5","209","150","5","183","0","success","completed","0.2727","Shortcut;Shortcut;Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic","8:16;3:27;10:57;13:24;1:35"
"almanac-3","7","2","False","Hungry City","4","208","281","22","97","5","hidden-rule","Hidden Rule Violated!
Stopping in bad weather during the witching hour was a mistake...","0.4279","Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Scenic;Scenic;Scenic","1:38;11:89;7:37;4:68"
"almanac-3","8","1","False","None","3","112","150","43","87","0","hidden-rule","Hidden Rule Violated!
Stopping in bad weather during the witching hour was a mistake...","0.4911","Shortcut;Shortcut;Police;Police;Scenic;Scenic","2:36;8:33;9:55"
"almanac-3","9","1","False","None","4","248","150","19","146","4","success","completed","0.2823","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","4:48;5:70;2:42;9:50"
"almanac-3","9","2","False","Witching Hour","5","244","191","21","252","6","success","completed","0.2828","Shortcut;Shortcut;Scenic;Scenic;Shortcut;Shortcut;Shortcut;Police;Scenic;Scenic","2:36;1:33;3:30;8:26;4:69"
"almanac-3","9","3","False","Dead Frequency","8","361","300","17","54","11","success","completed","0.2216","Scenic;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Shortcut;Shortcut;Police;Shortcut;Scenic;Scenic;Scenic;Scenic","9:70;1:26;6:18;10:30;3:42;8:19;4:62;11:80"
"almanac-3","9","4","False","None","9","345","375","43","0","3","time","You could not make the next leg. The shift ends where it stands.","0.2232","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Scenic;Police;Scenic;Scenic;Scenic;Police;Police;Scenic;Scenic;Police;Police;Shortcut","2:37;9:77;4:55;10:32;3:59;1:36;6:29;7:55;8:25"
"almanac-3","10","1","False","None","4","120","150","35","11","5","time","You could not make the next leg. The shift ends where it stands.","0.4","Shortcut;Shortcut;Scenic;Scenic;Scenic;Scenic;Scenic;Normal;Police","2:23;4:48;9:43;7:30"
"almanac-3","11","1","False","None","3","90","150","30","228","0","meltdown","The passenger's need became uncontrollable.","0.5667","Scenic;Scenic;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","10:51;1:33;8:18"
"almanac-3","12","1","False","None","5","238","150","16","232","8","success","completed","0.2899","Shortcut;Shortcut;Police;Police;Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic","3:36;6:14;9:49;8:20;4:69"
"almanac-3","12","2","False","None","6","283","225","14","11","7","success","completed","0.2615","Scenic;Scenic;Shortcut;Shortcut;Scenic;Scenic;Police;Police;Scenic;Scenic;Scenic;Scenic","1:47;3:37;10:34;6:22;4:74;7:43"
